[Error  : Unity Log] Veges:
[Warning: Unity Log] arrIndx:   0 | id:   1 | type:   Stone | name:              Stone 1
[Warning: Unity Log] arrIndx:   1 | id:   2 | type:   Stone | name:              Stone 2
[Warning: Unity Log] arrIndx:   2 | id:   3 | type:   Stone | name:              Stone 3
[Warning: Unity Log] arrIndx:   3 | id:   4 | type:   Stone | name:              Stone 4
[Warning: Unity Log] arrIndx:   4 | id:   5 | type:   Stone | name:              Stone 5
[Warning: Unity Log] arrIndx:   5 | id:   6 | type:   Stone | name:              Stone 6
[Warning: Unity Log] arrIndx:   6 | id:   7 | type:   Stone | name:              Stone 7
[Warning: Unity Log] arrIndx:   7 | id:   8 | type:   Stone | name:              Stone 8
[Warning: Unity Log] arrIndx:   8 | id:   9 | type:   Stone | name:              Stone 9
[Warning: Unity Log] arrIndx:   9 | id:  10 | type:   Stone | name:             Stone 10
[Warning: Unity Log] arrIndx:  10 | id:  11 | type:   Stone | name:             Stone 11
[Warning: Unity Log] arrIndx:  11 | id:  12 | type:   Stone | name:             Stone 12
[Warning: Unity Log] arrIndx:  12 | id:  13 | type:    Tree | name:               Tree 1
[Warning: Unity Log] arrIndx:  13 | id:  14 | type:    Tree | name:               Tree 2
[Warning: Unity Log] arrIndx:  14 | id:  15 | type:    Tree | name:               Tree 3
[Warning: Unity Log] arrIndx:  15 | id:  16 | type:    Tree | name:               Tree 4
[Warning: Unity Log] arrIndx:  16 | id:  17 | type:    Tree | name:               Tree 5
[Warning: Unity Log] arrIndx:  17 | id:  18 | type:    Tree | name:               Tree 6
[Warning: Unity Log] arrIndx:  18 | id:  19 | type:     Ice | name:            Iceberg 1
[Warning: Unity Log] arrIndx:  19 | id:  20 | type:     Ice | name:            Iceberg 2
[Warning: Unity Log] arrIndx:  20 | id:  21 | type:     Ice | name:            Iceberg 3
[Warning: Unity Log] arrIndx:  21 | id:  22 | type:    Tree | name:               Tree 7
[Warning: Unity Log] arrIndx:  22 | id:  23 | type:    Tree | name:               Tree 8
[Warning: Unity Log] arrIndx:  23 | id:  24 | type:    Tree | name:               Tree 9
[Warning: Unity Log] arrIndx:  24 | id:  25 | type:    Tree | name:              Tree 10
[Warning: Unity Log] arrIndx:  25 | id:  26 | type:    Tree | name:              Tree 11
[Warning: Unity Log] arrIndx:  26 | id:  27 | type:    Tree | name:              Tree 12
[Warning: Unity Log] arrIndx:  27 | id:  28 | type:    Tree | name:              Tree 13
[Warning: Unity Log] arrIndx:  28 | id:  29 | type:    Tree | name:              Tree 14
[Warning: Unity Log] arrIndx:  29 | id:  30 | type:    Tree | name:              Tree 15
[Warning: Unity Log] arrIndx:  30 | id:  31 | type:    Tree | name:              Tree 16
[Warning: Unity Log] arrIndx:  31 | id:  32 | type:    Tree | name:              Tree 17
[Warning: Unity Log] arrIndx:  32 | id:  33 | type:    Tree | name:              Tree 19
[Warning: Unity Log] arrIndx:  33 | id:  34 | type:    Tree | name:              Tree 20
[Warning: Unity Log] arrIndx:  34 | id:  35 | type:    Tree | name:              Tree 21
[Warning: Unity Log] arrIndx:  35 | id:  36 | type:    Tree | name:              Tree 22
[Warning: Unity Log] arrIndx:  36 | id:  37 | type:    Tree | name:              Tree 23
[Warning: Unity Log] arrIndx:  37 | id:  38 | type:    Tree | name:              Tree 25
[Warning: Unity Log] arrIndx:  38 | id:  39 | type:    Tree | name:              Tree 26
[Warning: Unity Log] arrIndx:  39 | id:  40 | type:    Tree | name:              Tree 27
[Warning: Unity Log] arrIndx:  40 | id:  41 | type:    Tree | name:              Tree 28
[Warning: Unity Log] arrIndx:  41 | id:  42 | type:    Tree | name:              Tree 29 	(Tall thin tree)
[Warning: Unity Log] arrIndx:  42 | id:  43 | type:    Tree | name:              Tree 30 	(Bright Green shrubland bushes)
[Warning: Unity Log] arrIndx:  43 | id:  44 | type:    Tree | name:              Tree 31 	(Large fern)
[Warning: Unity Log] arrIndx:  44 | id:  45 | type:    Tree | name:              Tree 32	(Giant red canopy tree)
[Warning: Unity Log] arrIndx:  45 | id:  46 | type:    Tree | name:              Tree 33  	(Giant Sequoia tree)
[Warning: Unity Log] arrIndx:  46 | id:  47 | type:    Tree | name:              Tree 34  	(Small fern)
[Warning: Unity Log] arrIndx:  47 | id:  48 | type:   Stone | name:             Stone 13 
[Warning: Unity Log] arrIndx:  48 | id:  49 | type:   Stone | name:             Stone 14
[Warning: Unity Log] arrIndx:  49 | id:  50 | type:   Stone | name:             Stone 15
[Warning: Unity Log] arrIndx:  50 | id:  51 | type:   Stone | name:             Stone 16
[Warning: Unity Log] arrIndx:  51 | id:  52 | type:   Stone | name:             Stone 17
[Warning: Unity Log] arrIndx:  52 | id:  53 | type:   Stone | name:             Stone 18
[Warning: Unity Log] arrIndx:  53 | id:  54 | type:   Stone | name:             Stone 19
[Warning: Unity Log] arrIndx:  54 | id:  55 | type:   Stone | name:             Stone 20
[Warning: Unity Log] arrIndx:  55 | id:  56 | type:   Stone | name:             Stone 21
[Warning: Unity Log] arrIndx:  56 | id:  57 | type:   Stone | name:             Stone 22
[Warning: Unity Log] arrIndx:  57 | id:  58 | type:   Stone | name:             Stone 23
[Warning: Unity Log] arrIndx:  58 | id:  59 | type:   Stone | name:             Stone 24
[Warning: Unity Log] arrIndx:  59 | id:  60 | type:    Tree | name:                  树35
[Warning: Unity Log] arrIndx:  60 | id:  61 | type:  Detail | name:              Grass 0
[Warning: Unity Log] arrIndx:  61 | id:  62 | type:  Detail | name:              Grass 1
[Warning: Unity Log] arrIndx:  62 | id:  63 | type:  Detail | name:              Grass 2
[Warning: Unity Log] arrIndx:  63 | id:  64 | type:  Detail | name:              Tree 18
[Warning: Unity Log] arrIndx:  64 | id:  65 | type:  Detail | name:              Tree 24
[Warning: Unity Log] arrIndx:  65 | id:  66 | type:   Stone | name:        Alien stone 1
[Warning: Unity Log] arrIndx:  66 | id:  67 | type:   Stone | name:        Alien stone 2
[Warning: Unity Log] arrIndx:  67 | id:  68 | type:   Stone | name:        Alien stone 3
[Warning: Unity Log] arrIndx:  68 | id:  69 | type:   Stone | name:        Alien stone 4
[Warning: Unity Log] arrIndx:  69 | id:  70 | type:   Stone | name:        Alien stone 5
[Warning: Unity Log] arrIndx:  70 | id:  71 | type:   Stone | name:        Alien stone 6
[Warning: Unity Log] arrIndx:  71 | id:  72 | type:   Stone | name:        Alien stone 7
[Warning: Unity Log] arrIndx:  72 | id:  73 | type:   Stone | name:        Alien stone 8
[Warning: Unity Log] arrIndx:  73 | id:  74 | type:   Stone | name:        Alien stone 9
[Warning: Unity Log] arrIndx:  74 | id:  75 | type:   Stone | name:       Alien stone 10
[Warning: Unity Log] arrIndx:  75 | id:  76 | type:   Stone | name:       Alien stone 11
